銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高,移動平均(5),移動平均(25),移動平均(75)
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:39:0,39375,39400,39360,39390,492,39375,39415.4,39587.0667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:42:0,39395,39405,39380,39390,433,39381,39411.2,39582.4
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:45:0,39395,39445,39395,39435,672,39393,39408.2,39578.2667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:48:0,39435,39445,39425,39430,434,39403,39405,39574.4667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:51:0,39440,39445,39380,39400,565,39409,39402.2,39569.8667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:54:0,39390,39400,39375,39375,82,39406,39398.2,39565.0667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:57:0,39375,39375,39375,39375,0,39403,39396.4,39560
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,6:0:0,39360,39360,39360,39360,1565,39388,39395,39554.8
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,8:45:0,38750,38755,38600,38660,13719,39234,39363.8,39540.0667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,8:48:0,38660,38690,38610,38630,4299,39080,39331,39524.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,8:51:0,38630,38650,38580,38625,6928,38930,39296.6,39509
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,8:54:0,38630,38710,38625,38700,3798,38795,39265.8,39494.4
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,8:57:0,38700,38715,38625,38625,3680,38648,39234.4,39478.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:0:0,38625,38640,38405,38520,17719,38620,39199.6,39461.4
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:3:0,38520,38635,38505,38635,9390,38621,39169.8,39445.8
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:6:0,38640,38780,38640,38730,10742,38642,39143.2,39431.6667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:9:0,38730,38765,38680,38745,7219,38651,39118.4,39417.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:12:0,38740,38775,38670,38695,6299,38665,39091,39403.2667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:15:0,38690,38705,38605,38615,7073,38684,39061,39387.4667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:18:0,38615,38625,38530,38550,7914,38667,39029,39370.8667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:21:0,38555,38570,38460,38465,10074,38614,38993.4,39353.2667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:24:0,38470,38590,38455,38525,9956,38570,38960,39336.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:27:0,38520,38585,38505,38580,3914,38547,38928.2,39320.8
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:30:0,38580,38660,38570,38645,6348,38553,38898.8,39305.6667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:33:0,38640,38715,38620,38675,4921,38578,38871,39290.9333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:36:0,38675,38715,38645,38660,3792,38617,38841.8,39276.1333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:39:0,38655,38725,38650,38665,3344,38645,38812.8,39261.3333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:42:0,38660,38705,38655,38680,2684,38665,38782.6,39246.6
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:45:0,38675,38720,38650,38670,4257,38670,38752.2,39232.9333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:48:0,38665,38715,38635,38685,3464,38672,38723.6,39219.8
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:51:0,38680,38690,38625,38655,3013,38671,38694.8,39206.8667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:54:0,38655,38665,38605,38615,2839,38661,38664.4,39193.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:57:0,38615,38720,38605,38710,3186,38667,38638.4,39181.4667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:0:0,38710,38750,38695,38715,5331,38676,38640.6,39170.2667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:3:0,38710,38720,38655,38655,3027,38670,38641.6,39158.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:6:0,38660,38725,38655,38715,2745,38682,38645.2,39147.0667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:9:0,38715,38750,38655,38740,3304,38707,38646.8,39136.2
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:12:0,38740,38740,38700,38710,2234,38707,38650.2,39124.3333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:15:0,38710,38715,38665,38685,2596,38701,38656.8,39112.2667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:18:0,38685,38735,38670,38720,2314,38714,38660.2,39101.1333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:21:0,38720,38750,38705,38745,2688,38720,38660.8,39090.1333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:24:0,38740,38770,38700,38765,3195,38725,38661.6,39079.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:27:0,38770,38820,38745,38800,5225,38743,38665.8,39069.9333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:30:0,38800,38865,38770,38840,5514,38774,38674.8,39060.8667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:33:0,38840,38850,38800,38820,5212,38794,38685.6,39052.3333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:36:0,38815,38825,38770,38790,3946,38803,38698.6,39043.0667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:39:0,38795,38840,38785,38790,2851,38808,38709.2,39033.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:42:0,38790,38810,38710,38715,3716,38791,38714.6,39023.2667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:45:0,38715,38750,38690,38745,4060,38772,38718.6,39013.6
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:48:0,38750,38760,38705,38730,2191,38754,38720.8,39003.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:51:0,38735,38770,38690,38690,2687,38734,38722,38993.0667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:54:0,38690,38700,38625,38645,6110,38705,38721.2,38981.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:57:0,38645,38685,38630,38640,2814,38690,38719.6,38970.1333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:0:0,38635,38640,38600,38610,3598,38663,38717.2,38958.1333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:3:0,38615,38630,38590,38605,3068,38638,38714,38946.6
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:6:0,38610,38625,38590,38600,2107,38620,38711.8,38934.9333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:9:0,38600,38605,38560,38580,3544,38607,38710.4,38923.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:12:0,38580,38615,38560,38610,2497,38601,38706.4,38913.2667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:15:0,38615,38620,38580,38595,2003,38598,38701.6,38902
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:18:0,38590,38600,38575,38580,1512,38593,38698.6,38890.4
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:21:0,38580,38595,38565,38590,1812,38591,38693.6,38878.4667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:24:0,38585,38595,38575,38585,725,38592,38687.4,38866.6667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:27:0,38585,38605,38575,38605,1239,38591,38683.2,38855.9333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:30:0,38600,38600,38540,38550,2298,38582,38677.8,38844.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:33:0,38545,38555,38545,38550,1222,38576,38671,38833.6667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:36:0,38545,38550,38480,38485,3862,38555,38660.6,38821.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:39:0,38485,38495,38445,38455,4503,38529,38648.2,38809.4
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:42:0,38455,38480,38440,38480,2234,38504,38635.4,38797.4
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:45:0,38480,38485,38450,38460,2124,38486,38620.2,38785.3333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:48:0,38465,38480,38430,38430,2315,38462,38604.6,38773.0667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:51:0,38435,38445,38430,38435,1353,38452,38590.4,38760.8
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:54:0,38440,38440,38365,38440,6092,38449,38576.4,38748.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:57:0,38440,38460,38430,38455,2904,38444,38566,38736.2667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:0:0,38455,38455,38390,38400,2107,38432,38552.2,38723.2
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:3:0,38395,38420,38395,38410,1414,38428,38539.4,38710.4
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:6:0,38405,38430,38400,38420,1330,38425,38528.6,38697.4667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:9:0,38420,38450,38410,38450,1443,38427,38520.8,38684.9333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:12:0,38445,38450,38435,38435,806,38423,38512.6,38671.6
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:15:0,38440,38460,38435,38460,1483,38435,38506.6,38658.6667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:18:0,38460,38465,38440,38460,1153,38445,38500.8,38646.1333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:21:0,38460,38475,38450,38465,1666,38454,38495.4,38634
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:24:0,38465,38495,38455,38490,2081,38462,38491.8,38622.2
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:27:0,38490,38515,38475,38515,2300,38478,38488,38610.9333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:30:0,38515,38595,38515,38570,4825,38500,38487,38609.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:33:0,38565,38585,38555,38570,2207,38522,38486.6,38608.9333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:36:0,38570,38580,38515,38545,2308,38538,38484.8,38607.8667
